location,state,year,lat,long,fund_source,fund_type,Length (ft),volume,Actual Cost,2013 CF$,cost_2013,$/CY,CY/Foot
Ocean Isle Beach,NC,2007,33.890044,-78.422899,Local,Shore Protection,2700.00,135000.00,650000.00,0.89,730337.08,4.81,50.00
Pawley's Island,SC,2007,33.432811,-79.119024,Local,Emergency,3000.00,40000.00,426912.00,0.89,479676.40,10.67,13.33
Pine Knoll Shores,NC,2007,34.693921,-76.818552,Federal,Emergency,13615.00,112555.00,3311582.44,0.89,3720879.15,29.42,8.27
Pine Knoll Shores,NC,2007,34.693921,-76.818552,Federal,Navigation,21120.00,920000.00,10326000.00,0.89,11602247.19,11.22,43.56
Arcadian Shores,SC,2008,33.768957,-78.771844,Local,Unknown,6400.00,331574.00,4097223.00,0.92,4434224.03,12.36,51.81
Bethany/South Bethany Beach,DE,2008,38.539808,-75.053873,Federal,Shore Protection,14950.00,3800000.00,27700000.00,0.92,29978354.98,7.29,254.18
Brevard County: Mid Reach,FL,2008,28.150865,-80.582657,State,Emergency,41184.00,95777.00,2266715.00,0.92,2453154.76,23.67,2.33
Brevard County: Sebastian Inlet (South Beaches),FL,2008,27.859054,-80.446873,State,Emergency,70800.00,30948.00,733285.00,0.92,793598.48,23.69,0.44
Garden City Beach,SC,2008,33.581876,-78.993073,Federal,Shore Protection,40650.00,857633.00,10448954.00,0.92,11308391.77,12.18,21.10
Isle of Palms,SC,2008,32.797556,-79.753962,Local,Unknown,10200.00,933895.00,10600000.00,0.92,11471861.47,11.35,91.56
North Myrtle Beach,SC,2008,33.814998,-78.679404,Federal,Unknown,45400.00,902725.00,9554008.00,0.92,10339835.50,10.58,19.88
Pinellas County: Honeymoon Island,FL,2008,28.069633,-82.835004,State,Shore Protection,2600.00,140000.00,2000000.00,0.92,2164502.16,14.29,53.85
Block Island Harbor,RI,2009,41.184759,-71.566443,Federal,Navigation,0.00,7674.00,111471.00,0.92,121032.57,14.53,#DIV/0!
Brevard County: Mid Reach,FL,2009,28.150865,-80.582657,Federal,Emergency,41184.00,91822.00,2222613.00,0.92,2413260.59,24.21,2.23
Brevard County: Sebastian Inlet (South Beaches),FL,2009,27.859054,-80.446873,Federal,Emergency,70800.00,69132.00,1673387.00,0.92,1816924.00,24.21,0.98
Cape May Inlet to Lower Township,NJ,2009,38.941653,-74.883331,Federal,Shore Protection,4500.00,375000.00,4125000.00,0.92,4478827.36,11.00,83.33
Cape May Inlet to Lower Township,NJ,2009,38.941653,-74.883331,Federal,Shore Protection,4400.00,425000.00,3375000.00,0.92,3664495.11,7.94,96.59
Caswell Beach,NC,2009,33.896008,-78.051102,Federal,Navigation,0.00,1090000.00,13400000.00,0.92,14549402.82,12.29,#DIV/0!
East Grand Terre Island (BA-30),LA,2009,39.249936,-74.608426,State,Ecosystem Restoration,14784.00,3300000.00,25400000.00,0.92,27578718.78,7.70,223.21
Great Salt Pond,RI,2009,41.223407,-71.576958,Federal,Navigation,0.00,30316.00,222283.00,0.92,241349.62,7.33,#DIV/0!
Gulf County: Cape San Blas/St. Joseph Peninsula Beach,FL,2009,29.718023,-85.38866,Local,Shore Protection,39600.00,3600000.00,22000000.00,0.92,23887079.26,6.11,90.91
Holden Beach,NC,2009,33.908890,-78.310204,Federal,Emergency,21120.00,192000.00,2225271.00,0.92,2416146.58,11.59,9.09
Ludlum Beach Island: Sea Isle City,NJ,2009,39.141178,-74.69975,State,Unknown,6500.00,216630.00,1987684.00,0.92,2158180.24,9.18,33.33
Ludlum Beach Island: Sea Isle City,NJ,2009,39.141178,-74.69975,State,Unknown,3500.00,178167.00,1626286.00,0.92,1765782.84,9.13,50.90
Ludlum Beach Island: Strathmere,NJ,2009,39.194613,-74.657435,State,Shore Protection,10258.00,891000.00,6026820.33,0.92,6543778.86,6.76,86.86
Monmouth Beach,NJ,2009,40.335357,-73.973708,Federal,Navigation,1200.00,60000.00,2550000.00,0.92,2768729.64,42.50,50.00
Myrtle Beach,SC,2009,33.687161,-78.883097,Federal,Shore Protection,48780.00,1497975.00,17612822.00,0.92,19123585.23,11.76,30.71
North Wildwood,NJ,2009,38.993906,-74.794164,State,Unknown,0.00,1186400.00,10640526.00,0.92,11553231.27,8.97,#DIV/0!
Pass Chaland to Grand Bayou Pass (BA-35),LA,2009,29.299363,-89.701819,Federal,Ecosystem Restoration,14256.00,2000000.00,40700000.00,0.92,44191096.63,20.35,140.29
Sandy Hook to Barnegat Inlet: Long Branch,NJ,2009,40.303225,-73.978014,Federal,Shore Protection,3000.00,700000.00,18539000.00,0.92,20129207.38,26.48,233.33
Stone Harbor,NJ,2009,39.050752,-74.756134,Federal,Emergency,3700.00,319670.00,1500000.00,0.92,1628664.50,4.69,86.40
Westhampton Beach,NY,2009,40.794643,-72.639198,Federal,Shore Protection,15000.00,1035000.00,14615385.00,0.92,15869039.09,14.12,69.00
Avalon,NJ,2010,39.098428,-74.711459,Federal,Emergency,2200.00,500000.00,4500000.00,0.94,4807692.31,9.00,227.27
Bald Head Island,NC,2010,33.855876,-77.999067,Local,Shore Protection,16200.00,1800000.00,17000000.00,0.94,18162393.16,9.44,111.11
Brevard County: South Reach/Indialantic,FL,2010,28.080008,-80.560856,Federal,Shore Protection,20064.00,630000.00,12400000.00,0.94,13247863.25,19.68,31.40
Carolina Beach,NC,2010,34.038772,-77.888904,Federal,Shore Protection,0.00,690000.00,4278185.00,0.94,4570710.47,6.20,0.00
Emerald Isle Point,NC,2010,34.645027,-77.097867,Federal,Navigation,700.00,74000.00,757782.00,0.94,809596.15,10.24,105.71
Grand Isle,LA,2010,29.235874,-89.986632,Federal,Shore Protection,38544.00,450000.00,50000000.00,0.94,53418803.42,0.00,11.67
Indian River County: Ambersand Beach,FL,2010,27.835129,-80.43417,State,Unknown,0.00,267182.00,4184070.12,0.94,4470160.38,15.66,0.00
Kure Beach,NC,2010,33.995750,-77.906199,Federal,Shore Protection,0.00,450000.00,4694483.00,0.94,5015473.29,10.43,0.00
Long Beach Island: Beach Haven,NJ,2010,39.557398,-74.239254,State,Unknown,390.00,2000.00,471999.50,0.94,504272.97,236.00,5.13
Long Beach Island: Harvey Cedars,NJ,2010,39.705998,-74.132245,Federal,Shore Protection,9700.00,3000000.00,25000000.00,0.94,26709401.71,8.33,309.28
Ludlum Beach Island: Sea Isle City,NJ,2010,39.141178,-74.69975,State,Unknown,5500.00,700000.00,6000000.00,0.94,6410256.41,8.57,127.27
Masonboro Island,NC,2010,34.160540,-77.829380,Federal,Navigation,0.00,580000.00,7785000.00,0.94,8317307.69,13.42,0.00
Ocean City,NJ,2010,39.264158,-74.589958,Federal,Shore Protection,9500.00,1400000.00,13824000.00,0.94,14769230.77,9.87,147.37
Ocean Isle Beach,NC,2010,33.890044,-78.422899,Federal,Shore Protection,0.00,509200.00,5012525.00,0.94,5355261.75,9.84,0.00
Palm Beach County: Juno Beach,FL,2010,26.879895,-80.052459,State,Unknown,12672.00,926000.00,10534028.45,0.94,11254303.90,11.38,73.07
Pascagoula,MS,2010,30.343241,-88.544075,Federal,Emergency,7700.00,290000.00,12000000.00,0.94,12820512.82,41.38,37.66
Pinellas County: Long Key/Upham Beach,FL,2010,27.736415,-82.753655,Federal,Navigation,3696.00,200000.00,1730000.00,0.94,1848290.60,8.65,54.11
Pinellas County: Treasure Island/Sunset Beach,FL,2010,27.749268,-82.762831,Federal,Navigation,4000.00,125423.00,1750000.00,0.94,1869658.12,13.95,31.36
Pinellas County: Treasure Island/Sunshine Beach,FL,2010,27.773736,-82.778607,Federal,Navigation,3000.00,127260.00,1750000.00,0.94,1869658.12,13.75,42.42
Topsail Island,NC,2010,34.351940,-77.644415,Local,Shore Protection,25000.00,1000000.00,10250000.00,0.94,10950854.70,10.25,40.00
Wrightsville Beach,NC,2010,34.207242,-77.793460,Federal,Navigation,0.00,451000.00,2402515.00,0.94,2566789.53,5.33,#DIV/0!
Absecon Island: Atlantic City,NJ,2011,39.357595,-74.421816,Federal,Emergency,3600.00,1003000.00,7658450.00,0.97,7928002.07,7.64,278.61
Absecon Island: Ventnor,NJ,2011,39.337484,-74.475292,Federal,Emergency,3400.00,175000.00,2667550.00,0.97,2761438.92,15.24,51.47
Atlantic Beach/Fort Macon,NC,2011,34.694626,-76.705685,Federal,Navigation,15840.00,1346700.00,12762429.00,0.97,13211624.22,9.48,85.02
Avalon,NJ,2011,39.098428,-74.711459,Federal,Emergency,4475.00,450000.00,9338000.00,0.97,9666666.67,20.75,100.56
Bay County: Panama City Beach,FL,2011,30.176314,-85.807965,Federal,Emergency,42240.00,1400000.00,13300000.00,0.97,13768115.94,9.50,33.14
Bethany/South Bethany Beach,DE,2011,38.539808,-75.053873,Federal,Emergency,10500.00,437000.00,4653751.00,0.97,4817547.62,10.65,41.62
Brigantine,NJ,2011,39.405826,-74.362421,Federal,Emergency,9504.00,175000.00,3020000.00,0.97,3126294.00,17.26,18.41
Cape May Inlet to Lower Township,NJ,2011,38.941653,-74.883331,Federal,Shore Protection,0.00,440000.00,8320000.00,0.97,8612836.44,18.91,#DIV/0!
Chandeleur Islands,LA,2011,29.952555,-88.821087,Private,Ecosystem Restoration,39370.00,5231802.00,220000000.00,0.97,227743271.22,42.05,132.89
Fenwick Island,DE,2011,38.462461,-75.049388,Federal,Emergency,5000.00,282000.00,3349207.00,0.97,3467087.99,11.88,56.40
Lee County: Fort Myers Beach,FL,2011,26.4495,-81.948352,State,Unknown,5280.00,315000.00,4000000.00,0.97,4140786.75,12.70,59.66
Long Beach Island: Surf City,NJ,2011,39.625788,-74.194107,Federal,Emergency,3500.00,300000.00,6048000.00,0.97,6260869.57,20.16,85.71
Lower Cape May Meadows – Cape May Point,NJ,2011,38.931038,-74.9581,Federal,Shore Protection,7000.00,300000.00,9400000.00,0.97,9730848.86,31.33,42.86
Nags Head,NC,2011,35.908692,-75.594907,Local,Shore Protection,52800.00,4600000.00,36000000.00,0.97,37267080.75,7.83,87.12
Ocean City   ,MD,2011,38.38392,-75.06237,Federal,Shore Protection,43824.00,800000.00,7970500.00,0.97,8251035.20,9.96,18.25
Orchard Beach,NY,2011,40.86626,-73.793174,Federal,Shore Protection,5280.00,268000.00,6000000.00,0.97,6211180.12,22.39,50.76
Stone Harbor,NJ,2011,39.050752,-74.756134,Federal,Emergency,11200.00,580000.00,9338000.00,0.97,9666666.67,16.10,51.79
Absecon Island: Atlantic City,NJ,2012,39.357595,-74.421816,Federal,Shore Protection,0.00,1325000.00,21015965.00,0.99,21314366.13,15.86,#DIV/0!
Absecon Island: Ventnor,NJ,2012,39.337484,-74.475292,Federal,Shore Protection,0.00,325000.00,6830187.00,0.99,6927167.34,21.02,#DIV/0!
Bethany/South Bethany Beach,DE,2012,38.539808,-75.053873,Federal,Shore Protection,10500.00,1159000.00,11426808.00,0.99,11589054.77,9.86,110.38
Cape May Inlet to Lower Township,NJ,2012,38.941653,-74.883331,Federal,Shore Protection,13471.00,770000.00,9000000.00,0.99,9127789.05,11.69,57.16
Fenwick Island,DE,2012,38.462461,-75.049388,Federal,Shore Protection,5000.00,50000.00,285000.00,0.99,289046.65,5.70,10.00
Hilton Head,SC,2012,32.236644,-80.677092,Local,Unknown,5280.00,1134000.00,9800000.00,0.99,9939148.07,8.64,214.77
Lewes Beach,DE,2012,38.785519,-75.147815,Federal,Shore Protection,1500.00,111757.00,3346056.00,0.99,3393565.92,29.94,74.50
Long Beach Island: Brant Beach,NJ,2012,39.620367,-74.194772,Federal,Shore Protection,5400.00,1250000.00,16700000.00,0.99,16937119.68,13.36,231.48
Ludlum Beach Island: Sea Isle City,NJ,2012,39.141178,-74.69975,Federal,Emergency,14750.00,394797.00,5000000.00,0.99,5070993.91,12.66,26.77
Ludlum Beach Island: Strathmere,NJ,2012,39.194613,-74.657435,Federal,Emergency,2400.00,450000.00,4200000.00,0.99,4259634.89,9.33,187.50
Pinellas County: Sand Key/Clearwater to North Redington Beach,FL,2012,27.93997,-82.83965,Federal,Shore Protection,45936.00,1300000.00,31500000.00,0.87,36416184.97,24.23,28.30
Plumb Beach,NY,2012,40.583648,-73.927345,Federal,Emergency,1000.00,127000.00,3500000.00,0.99,3549695.74,27.56,127.00
Port Monmouth,NJ,2012,40.4395,-74.093714,Federal,Shore Protection,0.00,800000.00,12900000.00,0.99,13083164.30,16.13,#DIV/0!
Rehoboth Beach/Dewey Beach,DE,2012,38.69298,-75.07179,Federal,Emergency,10452.00,311000.00,4772500.00,0.99,4840263.69,15.35,29.76
Rehoboth Beach/Dewey Beach,DE,2012,38.69298,-75.07179,Federal,Shore Protection,10452.00,722000.00,11134900.00,0.99,11293002.03,15.42,69.08
Sandy Hook to Barnegat Inlet: Monmouth Beach,NJ,2012,40.335357,-73.973708,Federal,Shore Protection,5000.00,800000.00,18461538.00,0.99,18723669.37,23.08,160.00
St. Johns County: St. Augustine Beach,FL,2012,29.823277,-81.262822,Federal,Shore Protection,12144.00,2100000.00,14000000.00,0.84,16706443.91,6.67,172.92
West Belle Pass Barrier Headland Restoration (TE-52),LA,2012,29.092791,-90.243113,Federal,Ecosystem Restoration,9300.00,2800000.00,42200000.00,0.99,42799188.64,15.07,301.08
West Ship Island,MS,2012,30.211979,-88.973508,Federal,Shore Protection,10350.00,565000.00,6000000.00,0.99,6085192.70,10.62,54.59
