location,state,year,lat,long,fund_source,fund_type,Length (ft),volume,Actual Cost,2013 CF$,cost_2013,$/CY,CY/Foot
Ocean Parkway,NY,2013,40.604912,-73.450177,Federal,Emergency,,800000.00,32200000.00,1.00,32200000.00,40.25,0.00
Pea Island,NC,2013,35.727144,-75.496674,Federal,Emergency,0.00,616448.00,7000000.00,1.00,7000000.00,11.36,0.00
Pine Knoll Shores,NC,2013,34.693921,-76.818552,Federal,Emergency,12905.00,112555.00,3195032.00,1.00,3195032.00,28.39,8.72
Pine Knoll Shores,NC,2013,34.693921,-76.818552,Local,Shore Protection,12905.00,171313.00,3395648.00,1.00,3395648.00,19.82,13.27
Pinellas County: Honeymoon Island,FL,2013,28.069633,-82.835004,State,Shore Protection,1750.00,150000.00,2380000.00,1.00,2380000.00,15.87,85.71
Point Lookout/Jones Inlet,NY,2013,40.585783,-73.581533,Federal,Emergency,,636050.00,9646550.00,1.00,9646550.00,15.17,#DIV/0!
Rehoboth Beach/Dewey Beach,DE,2013,38.69298,-75.07179,Federal,Emergency,13200.00,455000.00,8215038.00,1.00,8215038.00,18.06,34.47
Robert Moses State Park,NY,2013,40.620728,-73.280182,State,Emergency,33000.00,605000.00,7700000.00,1.00,7700000.00,12.73,18.33
Rockaway Beach,NY,2013,40.585221,-73.806914,Federal,Emergency,,3700000.00,36498150.00,1.00,36498150.00,9.86,#DIV/0!
Sandbridge,VA,2013,36.745865,-75.943615,Federal,Emergency,,134850.00,809100.00,1.00,809100.00,6.00,#DIV/0!
Sandbridge,VA,2013,36.745865,-75.943615,Local,Shore Protection,26400.00,2000000.00,15475000.00,1.00,15475000.00,7.74,75.76
Sandy Hook to Barnegat Inlet: Sea Bright to Monmouth,NJ,2013,40.346152,-73.973207,Federal,Emergency,,2460000.00,25590800.00,1.00,25590800.00,10.40,
Stone Harbor,NJ,2013,39.050752,-74.756134,Federal,Emergency,,265000.00,3121700.00,1.00,3121700.00,11.78,#DIV/0!
Stone Harbor,NJ,2013,39.050752,-74.756134,Federal,Emergency,8750.00,100000.00,2440250.00,1.00,2440250.00,24.40,11.43
Virginia Beach,VA,2013,36.853733,-75.975094,Federal,Emergency,,190250.00,2117482.00,1.00,2117482.00,11.13,#DIV/0!
Virginia Beach,VA,2013,36.853733,-75.975094,Federal,Shore Protection,18843.00,1250000.00,12050000.00,1.00,12050000.00,9.64,66.34
West of Shinnecock Inlet/Tiana Beach,NY,2013,40.839983,-72.473545,Federal,Emergency,,450000.00,6875000.00,1.00,6875000.00,15.28,#DIV/0!
Absecon Island: Ventnor,NJ,2014,39.337484,-74.475292,Federal,Emergency,,340000.00,6061143.00,1.00,6061143.00,17.83,#DIV/0!
Atlantic Beach/Fort Macon,NC,2014,34.694626,-76.705685,Federal,Navigation,95400.00,1107585.00,9415774.00,1.00,9415774.00,8.50,11.61
Brevard County: North Reach,FL,2014,28.36784,-80.602083,Federal,Emergency,36960.00,972410.00,11920206.75,1.00,11920206.75,12.26,26.31
Brevard County: Sebastian Inlet (South Beaches),FL,2014,27.859054,-80.446873,Federal,Emergency,70800.00,47248.00,1673387.00,1.00,1673387.00,35.42,0.67
Brevard County: South Reach/Indialantic,FL,2014,28.080008,-80.560856,Federal,Emergency,17424.00,692418.00,11212164.23,1.00,11212164.23,16.19,39.74
Broward County: Segment II/Pompano Beach/Lauderdale by the Sea,FL,2014,26.215015,-80.090772,Federal,Shore Protection,26928.00,126700.00,7070370.00,1.00,7070370.00,55.80,4.71
Caminada Headland Beach and Dune Restoration (BA-45),LA,2014,29.107744,-90.181436,Private,Ecosystem Restoration,31680.00,3300000.00,70700000.00,1.00,70700000.00,21.42,104.17
Caminada Headland Beach and Dune Restoration Phase 2 (BA-143),LA,2014,29.162958,-90.09695,Private,Ecosystem Restoration,36960.00,5400000.00,145700000.00,1.00,145700000.00,26.98,146.10
Cape May Inlet to Lower Township,NJ,2014,38.941653,-74.883331,Federal,Emergency,,585000.00,9744500.00,1.00,9744500.00,16.66,#DIV/0!
Folly Beach,SC,2014,32.654263,-79.939721,Federal,Shore Protection,28192.00,1500000.00,30700000.00,1.00,30700000.00,20.47,53.21
Keansburg,NJ,2014,40.449103,-74.121923,Federal,Emergency,,875000.00,36900000.00,1.00,36900000.00,42.17,#DIV/0!
Long Beach Island: Brant Beach,NJ,2014,39.620367,-74.194772,Federal,Emergency,,1060000.00,10894006.00,1.00,10894006.00,10.28,#DIV/0!
Long Beach Island: Harvey Cedars,NJ,2014,39.705998,-74.132245,Federal,Emergency,,1515000.00,14340046.00,1.00,14340046.00,9.47,#DIV/0!
Long Beach Island: Surf City,NJ,2014,39.625788,-74.194107,Federal,Emergency,,415000.00,5350858.00,1.00,5350858.00,12.89,#DIV/0!
Manatee County: Anna Maria Key,FL,2014,27.487539,-82.707858,Federal,Emergency,24816.00,1200000.00,12421492.00,1.00,12421492.00,10.35,48.36
Manatee County: Anna Maria Key/Coquina Beach,FL,2014,27.450228,-82.693127,County,Emergency,7920.00,265000.00,5700000.00,1.00,5700000.00,21.51,33.46
Mecox Beach,NY,2014,40.891845,-72.328148,Local,Unknown,31680.00,2000000.00,25000000.00,1.00,25000000.00,12.50,63.13
Palm Beach County: Ocean Ridge,FL,2014,26.527031,-80.047288,Federal,Unknown,5808.00,550000.00,10838850.00,1.00,10838850.00,19.71,0.00
Pea Island/Rodanthe,NC,2014,35.6136277,-75.4662466,Federal,Emergency,11250.00,1620000.00,20300000.00,1.00,20300000.00,12.53,144.00
Pinellas County: Long Key/Pass-A-Grille,FL,2014,27.692449,-82.737851,Federal,Emergency,5280.00,140053.00,2003565.50,1.00,2003565.50,14.31,26.53
Pinellas County: Long Key/Upham Beach,FL,2014,27.736415,-82.753655,Federal,Emergency,2600.00,156748.00,3354934.50,1.00,3354934.50,21.40,60.29
Pinellas County: Treasure Island/Sunset Beach,FL,2014,27.749268,-82.762831,Federal,Emergency,7200.00,232407.00,8404496.00,1.00,8404496.00,36.16,32.28
Pinellas County: Treasure Island/Sunshine Beach,FL,2014,27.773736,-82.778607,Federal,Emergency,2000.00,66892.00,2419000.00,1.00,2419000.00,36.16,33.45
Sandy Hook to Barnegat Inlet: Asbury Park,NJ,2014,40.210737,-74.002733,Federal,Emergency,,1200000.00,18300000.00,1.00,18300000.00,15.25,
Sandy Hook to Barnegat Inlet: Belmar - Manasquan,NJ,2014,40.150144,-74.022303,Federal,Emergency,,1500000.00,25300000.00,1.00,25300000.00,16.87,
Sandy Hook to Barnegat Inlet: Long Branch,NJ,2014,40.303225,-73.978014,Federal,Emergency,,3303000.00,40067500.00,1.00,40067500.00,12.13,
Southold,NY,2014,41.019982,-72.54879,Federal,Navigation,0.00,100000.00,2200000.00,1.00,2200000.00,22.00,#DIV/0!
Westhampton Beach,NY,2014,40.794643,-72.639198,Federal,Emergency,,1008000.00,14234275.00,1.00,14234275.00,14.12,#DIV/0!
Wrightsville Beach,NC,2014,34.207242,-77.793460,Federal,Shore Protection,7202.00,775000.00,9700000.00,1.00,9700000.00,12.52,107.61
